Schedule,,,,,,,,,,
All 47 rows look good.,,,,,,,,,,
,,,,,,,,,,
Date,Face-off,Away team,Home team,Away goals,Home goals,Rink,Pool / division,Game type,Event,Check
2026-08-28,6:55 pm,Allegheny Badgers,West Seneca Wings,5,3,Leisure-1,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-28,8:00 pm,Macomb Mavericks,Stoney Creek Warriors,0,5,Leisure-2,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-28,8:15 pm,Sylvania North Stars,Middlesex Islanders,7,2,Leisure-1,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-29,10:55 am,Allegheny Badgers,Sylvania North Stars,5,6,Leisure-2,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-29,12:00 pm,West Seneca Wings,Macomb Mavericks,6,0,Leisure-1,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-29,12:15 pm,Stoney Creek Warriors,Middlesex Islanders,4,3,Leisure-2,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-29,5:35 pm,Sylvania North Stars,West Seneca Wings,5,2,Leisure-2,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-29,6:40 pm,Stoney Creek Warriors,Allegheny Badgers,2,5,Leisure-1,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-29,6:55 pm,Macomb Mavericks,Middlesex Islanders,8,7,Leisure-2,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-30,11:00 am,Sylvania North Stars,Stoney Creek Warriors,4,1,Leisure-1,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-30,11:15 am,West Seneca Wings,Middlesex Islanders,8,2,Leisure-2,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-30,12:20 pm,Allegheny Badgers,Macomb Mavericks,9,1,Leisure-1,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-30,3:15 pm,Middlesex Islanders,Allegheny Badgers,4,6,Leisure-2,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-30,4:20 pm,Sylvania North Stars,Macomb Mavericks,5,0,Leisure-1,,Pool,Pre-Season Summer Showcase 2026,OK
2026-08-30,4:35 pm,Stoney Creek Warriors,West Seneca Wings,2,3,Leisure-2,,Pool,Pre-Season Summer Showcase 2026,OK
2026-09-13,11:00 AM,West Seneca Wings,Southtown Stars,6,2,Leisure-1,,Q-Game,,OK
2026-09-25,7:00 PM,West Seneca Wings,Cazenovia Chiefs,,,Riverside,,Q-Game,,OK
2026-09-28,6:00 PM,West Seneca Wings,Cheektowaga Warriors,,,Cheektowaga,,Q-Game,,OK
2026-10-04,11:30 AM,Niagara Jr. Cataracts,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2026-10-17,10:00 AM,West Seneca Wings,ROCO,,,Tim Hortons Iceplex - Rink 4,,Q-Game,,OK
2026-10-18,11:30 AM,Cazenovia Chiefs,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2026-10-24,5:15 PM,West Seneca Wings,Red Raiders,,,Holiday,,Q-Game,,OK
2026-10-25,3:00 PM,West Seneca Wings,Buffalo Bisons,,,Nichols,,Q-Game,,OK
2026-10-31,11:30 AM,West Seneca Wings,Niagara Jr. Cataracts,,,Hyde Park,,Q-Game,,OK
2026-11-01,11:30 AM,Lockport Lock Monsters,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2026-11-13,7:45 PM,West Seneca Wings,Buffalo Regals AAA,,,Holiday,,Scrimmage,,OK
2026-11-15,11:30 AM,Red Raiders,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2026-11-21,5:30 PM,West Seneca Wings,Clarence Mustangs,,,Northtown Center,,Q-Game,,OK
2026-11-22,11:30 AM,Southtown Stars,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2026-11-29,11:30 AM,Clarence Mustangs,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2026-12-05,4:00 PM,Wheatfield Blades,West Seneca Wings,,,Depew,,Q-Game,,OK
2026-12-06,11:30 AM,Cheektowaga Warriors,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2026-12-19,11:00 AM,West Seneca Wings,Rochester Jr. Americans,,,Rochester Ice Center,,Scrimmage,,OK
2026-12-19,2:30 PM,West Seneca Wings,Rochester Jr. Americans,,,Rochester Ice Center,,Scrimmage,,OK
2026-12-20,11:30 AM,ROCO,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2026-12-22,7:20 PM,West Seneca Wings,Lockport Lock Monsters,,,Cornerstone,,Q-Game,,OK
2027-01-02,6:00 PM,Cleveland Barons,West Seneca Wings,,,Harbor Center,,Scrimmage,,OK
2027-01-03,11:30 AM,Cleveland Barons,West Seneca Wings,,,West Seneca,,Scrimmage,,OK
2027-01-09,5:00 PM,West Seneca Wings,Wheatfield Blades,,,PNY North Sports Arena,,Q-Game,,OK
2027-01-10,11:30 AM,Buffalo Bisons,West Seneca Wings,,,West Seneca,,Q-Game,,OK
2027-02-07,11:30 AM,Buffalo Regals AAA,West Seneca Wings,,,West Seneca,,Scrimmage,,OK
2027-02-14,11:30 AM,Rochester Jr. Americans,West Seneca Wings,,,West Seneca,,Scrimmage,,OK
2026-09-18,12:00 PM,West Seneca Wings,Norfolk Knights,0,0,Welland JBM,,Pool,St. Catherines Early Bird,OK
2026-09-18,8:00 PM,Niagara Falls Canucks,West Seneca Wings,1,1,Seymour Hannah,,Pool,St. Catherines Early Bird,OK
2026-09-19,12:00 PM,West Seneca Wings,Flamborough Sabres,3,3,Seymour Hannah,,Pool,St. Catherines Early Bird,OK
2026-09-19,6:45 PM,Burlington Eagles,West Seneca Wings,1,3,Bill Burgoyne Arena,,Pool,St. Catherines Early Bird,OK
2026-09-16,7:30 PM,Cheektowaga Warriors,Niagara Jr. Cataracts,9,2,Hyde Park,,,,OK
