,Teams,,,,
,"Every club on the schedule, league and showcase together. The Notes column says which.",,,,
,,,,,
,Team name,Pool / division,Notes,Also known as,MyHockey link
,Allegheny Badgers,,showcase only,,
,Buffalo Bisons,,league,,2631
,Red Raiders,,league,Regals AA,34172
,Buffalo Regals AAA,,league,,1139
,Burlington Eagles,,tournament,,
,Cazenovia Chiefs,,league,,2708
,Cheektowaga Warriors,,league,,34146
,Clarence Mustangs,,league,,18163
,Cleveland Barons,,league,,
,Flamborough Sabres,,tournament,,
,Lockport Lock Monsters,,league,,15755
,Macomb Mavericks,,showcase only,,
,Middlesex Islanders,,showcase only,,
,Niagara Falls Canucks,,tournament,,
,Niagara Jr. Cataracts,,league,,21569
,Norfolk Knights,,tournament,,
,ROCO,,league,,
,Rochester Jr. Americans,,league,,
,Southtown Stars,,league,,19166
,Stoney Creek Warriors,,showcase only,,
,Sylvania North Stars,,showcase only,,
,West Seneca Wings,,,,1170
,Wheatfield Blades,,league,,
