,Rinks,,
,The Rink column on the Schedule tab picks from this list. Add a rink here first and it appears in the dropdown.,,
,,,
,Rink name,Address,Notes
,Bill Burgoyne Arena,"129 Linwell Rd. St. Catherine's, ON L2N 6C1",
,Cheektowaga,"2600 Harlem Rd., Cheektowaga, NY 14225",
,Cornerstone,"1 Grigg Lewis Way, Lockport, NY 14094",
,Depew,"90 Gould Ave., Depew, NY 14043",
,Harbor Center,"100 Washington St., Buffalo, NY 14203",
,Holiday,"3465 Broadway, Cheektowaga, NY 14227",
,Hyde Park,"911 Robbins Dr., Niagara Falls, NY 14301",
,Leisure-1,"75 Weiss Ave., West Seneca, NY 14224",
,Leisure-2,"75 Weiss Ave., West Seneca, NY 14224",
,Nichols,"1182 Amherst St., Buffalo, NY 14216",
,Northtown Center,"1615 Amherst Manor Dr., Buffalo, NY 14221",
,PNY North Sports Arena,"3385 Niagara Falls Blvd., North Tonawanda, NY 14120",
,Riverside,"2607 Niagara St., Buffalo, NY 14207",
,Rochester Ice Center,"80 Lyndon Rd., Fairport, NY 14450",
,Seymour Hannah,"240 St. Paul St. W, St. Catherine's, ON L2R 7M8",
,Tim Hortons Iceplex - Rink 4,"2700 Brighton Henrietta Town Line Rd., Rochester, NY 14623",
,Welland JBM,"501 King St. Welland, ON L3B 3K4",
,West Seneca,"1250 Union Rd., West Seneca, NY 14224",
,Buffalo Riverworks,"359 Ganson St., Buffalo, NY 14203",
,Cazenovia,"25 Cazenovia St., Buffalo, NY 14220",
,Holiday Rink 1,"3465 Broadway, Cheektowaga, NY 14227",
,Holiday Rink 2,"3465 Broadway, Cheektowaga, NY 14227",
,Leisure Rinks,"75 Weiss Ave., West Seneca, NY 14224",
,North Buffalo - Tacoma,"156 Tacoma Ave., Buffalo, NY 14216",
,Riverside/Bud Bakewell,"2607 Niagara St., Buffalo, NY 14207",
,Station 31,"2830 Baird Rd., Fairport, NY 14450",
,Tim Hortons Iceplex - Rink 2,"2700 Brighton Henrietta Town Line Rd., Rochester, NY 14623",
,Tim Hortons Iceplex - Rink 3,"2700 Brighton Henrietta Town Line Rd., Rochester, NY 14623",
